,weight,gain,cover,total_gain,total_cover
f49,13,0.48180386822048454,5.701675524615382,6.263450286866299,74.12178181999997
f109,26,0.23020485731223467,4.878796939230771,5.985326290118102,126.84872042000005
f57,6,0.5728945489016667,13.403228713333332,3.43736729341,80.41937227999999
f89,9,0.13188445246044445,2.81333934,1.1869600721440001,25.32005406
f13,56,0.11973994894839289,4.755151046428572,6.705437141110002,266.2884586
f54,37,0.25620636228156757,4.863097890810811,9.479635404418,179.93462196
f20,4,0.804232866749,4.6728812474999994,3.216931466996,18.691524989999998
f15,3,1.390606084074,5.019075633333333,4.171818252222,15.0572269
f77,10,0.0477683872607,6.145946311,0.47768387260699996,61.45946311
f114,15,0.04149498724117999,3.3466351346666667,0.6224248086176999,50.19952702
f93,7,0.25178697641614284,6.839459828571429,1.762508834913,47.876218800000004
f91,13,0.13430801245238458,4.95225019,1.7460041618809996,64.37925247
f32,59,0.23180364215581342,4.567031666101693,13.676414887192992,269.4548682999999
f81,12,0.09613507218241668,4.709456838333334,1.1536208661890002,56.51348206
f70,10,0.0652875479641,6.1789446869999995,0.652875479641,61.78944686999999
f33,5,0.7172105430160001,5.225945191999999,3.58605271508,26.12972596
f121,34,0.30855840984700006,4.090188559999999,10.490985934798003,139.06641103999996
Labels.Skew.NonAggregated,34,0.10807817484614707,4.866303717352942,3.674657944769,165.45432639000003
f115,28,0.13469725927596432,4.761891612142859,3.771523259727001,133.33296514000006
f2,4,0.577753064035,5.80002612,2.31101225614,23.20010448
f116,11,0.33991470698272724,5.870580434545454,3.73906177681,64.57638478
f25,16,0.09069939338306252,4.60158686125,1.4511902941290002,73.62538978
f78,7,0.028749502298999998,7.52417343,0.20124651609299998,52.669214010000005
attributes total,12,0.10737315309986667,5.0264050750000004,1.2884778371984,60.31686090000001
f98,6,0.14668887244633333,5.876693203333333,0.880133234678,35.26015922
f60,11,0.15225012899272725,9.352718505454545,1.6747514189199997,102.87990355999999
f46,10,0.3873312664806,4.519773797,3.873312664806,45.19773797
f122,17,0.1559168528519999,4.57048570117647,2.6505864984839986,77.69825691999999
f11,16,0.043957537005125,6.590713201875001,0.703320592082,105.45141123000002
f102,11,0.19441311407327272,4.172371865454546,2.138544254806,45.89609052000001
f27,6,0.1768937431961666,3.1720676033333333,1.0613624591769997,19.03240562
f68,8,0.055985015517875,2.753038675,0.447880124143,22.0243094
f73,20,0.09599751684074997,4.152441049499999,1.9199503368149995,83.04882098999998
f76,10,0.09798417520880001,8.152590659000001,0.9798417520880001,81.52590659
f113,53,0.072616870192166,5.789203974716981,3.848694120184798,306.82781065999995
f26,5,0.18122253950219996,7.333780190000001,0.9061126975109999,36.66890095
f87,4,0.058119535269250004,2.2777140124999997,0.23247814107700002,9.110856049999999
f118,28,0.08182902161767856,5.090076481785714,2.2912126052949997,142.52214149
f9,16,0.12074458201199999,5.253871709375001,1.9319133121919998,84.06194735000001
f19,13,0.06131124043130769,5.3939708892307685,0.797046125607,70.12162156
f35,6,0.013669331011666666,10.30373959,0.08201598606999999,61.822437539999996
f97,27,0.05264529267155555,5.179753225185187,1.421422902132,139.85333708000005
f43,13,0.14192571890115388,5.1372854192307695,1.8450343457150005,66.78471045
f117,11,0.23101059165528184,4.3588602136363646,2.5411165082081,47.94746235000001
f104,6,0.08221737121299999,3.4928595216666665,0.49330422727799994,20.95715713
f8,6,0.18580660185166661,5.141317208333334,1.1148396111099996,30.84790325
f74,11,0.05681404854109091,5.163341648181818,0.624954533952,56.79675813
f103,8,0.21856567836875002,5.7692065249999995,1.7485254269500001,46.153652199999996
f30,7,0.008225455320714286,8.832634275714286,0.057578187245,61.82843993
f23,10,0.055251878270800005,6.905944916999999,0.552518782708,69.05944917
f84,11,0.05561133651920909,4.51932676909091,0.6117247017113,49.712594460000005
f58,11,0.2083123245064545,4.762754483636363,2.2914355695709996,52.39029932
f95,7,0.3498430697146143,3.087054318571429,2.4489014880023,21.609380230000003
f5,13,0.02161461594369231,6.933399734615383,0.280990007268,90.13419654999998
f90,13,0.03205422555876923,4.297945202307692,0.416704932264,55.87328762999999
f38,21,0.06757671563742858,4.444583813333333,1.419111028386,93.33626007999999
f47,7,0.0016992037754285717,4.184806992857142,0.011894426428000001,29.293648949999998
f39,6,0.056450198042166666,5.033905858333334,0.338701188253,30.203435150000004
f24,8,0.059688244545,3.4693054250000004,0.47750595636,27.754443400000003
f94,3,0.016210423163333335,8.726358186666667,0.048631269490000004,26.17907456
f55,8,0.007885614807875,4.11082744,0.063084918463,32.88661952
f52,10,0.0357119501975,4.094186901,0.35711950197500003,40.94186901
f99,1,0.00566333579,8.71618748,0.00566333579,8.71618748
f42,4,0.00115719257175,3.386273445,0.004628770287,13.54509378
f37,2,0.0021493709925,4.728180645,0.004298741985,9.45636129
f66,6,0.009040117613500001,4.398710488333333,0.05424070568100001,26.39226293
f28,6,0.03844471248483334,2.771571358333334,0.23066827490900005,16.629428150000003
f96,3,0.022902655396666666,2.9982360999999997,0.06870796619,8.9947083
f12,5,0.00017373804448,2.189988898,0.0008686902224,10.94994449
f48,1,0.0026156283,6.25944185,0.0026156283,6.25944185
f6,1,0.000167441962,2.15578222,0.000167441962,2.15578222
